"","Date","Plant","Water","Mean_water","Depth","Block","date","year","month"
"185","20/07/2012","G","A",NA,"-12.5","R",2012-07-20,2012,"summer"
"186","20/07/2012","G","X","10.1499418674862","-12.5","R",2012-07-20,2012,"summer"
"187","20/07/2012","G","X","9.96977890826184","-12.5","L",2012-07-20,2012,"summer"
"188","20/07/2012","G","R","8.1790966566884","-12.5","L",2012-07-20,2012,"summer"
"189","20/07/2012","G","R","8.17176244014331","-12.5","L",2012-07-20,2012,"summer"
"190","20/07/2012","G","X","10.0323776978193","-12.5","L",2012-07-20,2012,"summer"
"191","20/07/2012","G","A","13.2326896237249","-12.5","L",2012-07-20,2012,"summer"
"192","20/07/2012","G","A","10.7505808578067","-12.5","R",2012-07-20,2012,"summer"
"193","21/08/2012","G","X","8.99913872634296","-12.5","R",2012-08-21,2012,"summer"
"194","21/08/2012","G","A","8.64846558038938","-12.5","R",2012-08-21,2012,"summer"
"195","21/08/2012","G","R","8.58065561101618","-12.5","L",2012-08-21,2012,"summer"
"196","21/08/2012","G","X","9.37032750456991","-12.5","L",2012-08-21,2012,"summer"
"197","21/08/2012","G","R","8.98044228220387","-12.5","R",2012-08-21,2012,"summer"
"198","21/08/2012","G","A","9.29115707154269","-12.5","R",2012-08-21,2012,"summer"
"199","21/08/2012","G","R","8.50410951053759","-12.5","L",2012-08-21,2012,"summer"
"200","21/08/2012","G","X","8.38448443168502","-12.5","L",2012-08-21,2012,"summer"
"201","21/08/2012","G","A",NA,"-12.5","L",2012-08-21,2012,"summer"
"202","21/08/2012","G","A","8.48956453364069","-12.5","L",2012-08-21,2012,"summer"
"203","21/08/2012","G","R","8.67885289080826","-12.5","R",2012-08-21,2012,"summer"
"204","21/08/2012","G","X","8.86085288726851","-12.5","R",2012-08-21,2012,"summer"
"205","21/08/2012","G","A","9.16656733700795","-12.5","L",2012-08-21,2012,"summer"
"206","21/08/2012","G","R","8.81457738748989","-12.5","R",2012-08-21,2012,"summer"
"207","21/08/2012","G","R","8.35869260390052","-12.5","R",2012-08-21,2012,"summer"
"208","21/08/2012","G","X",NA,"-12.5","R",2012-08-21,2012,"summer"
"209","21/08/2012","G","A",NA,"-12.5","R",2012-08-21,2012,"summer"
"210","21/08/2012","G","X","8.64113136384429","-12.5","R",2012-08-21,2012,"summer"
"211","21/08/2012","G","X",NA,"-12.5","L",2012-08-21,2012,"summer"
"212","21/08/2012","G","R","8.2010993063236","-12.5","L",2012-08-21,2012,"summer"
"213","21/08/2012","G","R","7.73955842394071","-12.5","L",2012-08-21,2012,"summer"
"214","21/08/2012","G","X","8.5963552175506","-12.5","L",2012-08-21,2012,"summer"
"215","21/08/2012","G","A",NA,"-12.5","L",2012-08-21,2012,"summer"
"216","21/08/2012","G","A","8.3093663813602","-12.5","R",2012-08-21,2012,"summer"
"217","24/09/2012","G","X","8.35869260390052","-12.5","R",2012-09-24,2012,"fall"
"218","24/09/2012","G","A","9.29836783189451","-12.5","R",2012-09-24,2012,"fall"
"219","24/09/2012","G","R","8.10060056778705","-12.5","L",2012-09-24,2012,"fall"
"220","24/09/2012","G","X","8.559325082717","-12.5","L",2012-09-24,2012,"fall"
"221","24/09/2012","G","R","8.48956453364069","-12.5","R",2012-09-24,2012,"fall"
"222","24/09/2012","G","A","8.34545537617538","-12.5","R",2012-09-24,2012,"fall"
"223","24/09/2012","G","R","9.12504526444218","-12.5","L",2012-09-24,2012,"fall"
"224","24/09/2012","G","X","8.4375917301603","-12.5","L",2012-09-24,2012,"fall"
"225","24/09/2012","G","A","6.8675692626039","-12.5","L",2012-09-24,2012,"fall"
"226","24/09/2012","G","A","6.8675692626039","-12.5","L",2012-09-24,2012,"fall"
"227","24/09/2012","G","R","7.02204256572742","-12.5","R",2012-09-24,2012,"fall"
"228","24/09/2012","G","X","7.02970490450591","-12.5","R",2012-09-24,2012,"fall"
"229","24/09/2012","G","A","7.31243233790981","-12.5","L",2012-09-24,2012,"fall"
"230","24/09/2012","G","R","6.73104123407021","-12.5","R",2012-09-24,2012,"fall"
"231","24/09/2012","G","R","6.88451001841471","-12.5","R",2012-09-24,2012,"fall"
"232","24/09/2012","G","X","6.81283682762985","-12.5","R",2012-09-24,2012,"fall"
"233","24/09/2012","G","A","7.01167842006921","-12.5","R",2012-09-24,2012,"fall"
"234","24/09/2012","G","X","6.8675692626039","-12.5","R",2012-09-24,2012,"fall"
"235","24/09/2012","G","X",NA,"-12.5","L",2012-09-24,2012,"fall"
"236","24/09/2012","G","R","6.73104123407021","-12.5","L",2012-09-24,2012,"fall"
"237","24/09/2012","G","R","7.00409729113759","-12.5","L",2012-09-24,2012,"fall"
"238","24/09/2012","G","X","7.02866664792703","-12.5","L",2012-09-24,2012,"fall"
"239","24/09/2012","G","A","7.84988122548307","-12.5","L",2012-09-24,2012,"fall"
"240","24/09/2012","G","A","7.10422283583175","-12.5","R",2012-09-24,2012,"fall"
"241","28/11/2012","G","X","9.35535083185795","-12.5","R",2012-11-28,2012,"fall"
"242","28/11/2012","G","A","11.6113963480173","-12.5","R",2012-11-28,2012,"fall"
"243","28/11/2012","G","R","9.22891727254047","-12.5","L",2012-11-28,2012,"fall"
"244","28/11/2012","G","X","10.3913754422497","-12.5","L",2012-11-28,2012,"fall"
"245","28/11/2012","G","R","9.824929013637","-12.5","R",2012-11-28,2012,"fall"
"246","28/11/2012","G","A","9.47865424731213","-12.5","R",2012-11-28,2012,"fall"
"247","28/11/2012","G","R","11.2238323186738","-12.5","L",2012-11-28,2012,"fall"
"248","28/11/2012","G","X","9.85640954050988","-12.5","L",2012-11-28,2012,"fall"
"249","28/11/2012","G","A","9.47865424731213","-12.5","L",2012-11-28,2012,"fall"
"250","28/11/2012","G","A","9.01661954015623","-12.5","L",2012-11-28,2012,"fall"
"251","28/11/2012","G","R","10.3811518314059","-12.5","R",2012-11-28,2012,"fall"
"252","28/11/2012","G","X","10.2486451017056","-12.5","R",2012-11-28,2012,"fall"
"253","28/11/2012","G","A","10.0682772373958","-12.5","L",2012-11-28,2012,"fall"
"254","28/11/2012","G","R","9.83152249302247","-12.5","R",2012-11-28,2012,"fall"
"255","28/11/2012","G","R",NA,"-12.5","R",2012-11-28,2012,"fall"
"256","28/11/2012","G","X","8.82816620772164","-12.5","R",2012-11-28,2012,"fall"
"257","28/11/2012","G","A","8.33799770343708","-12.5","R",2012-11-28,2012,"fall"
"258","28/11/2012","G","X","9.64451914202611","-12.5","R",2012-11-28,2012,"fall"
"259","28/11/2012","G","X","9.80366710116133","-12.5","L",2012-11-28,2012,"fall"
"260","28/11/2012","G","R",NA,"-12.5","L",2012-11-28,2012,"fall"
"261","28/11/2012","G","R","9.29115707154269","-12.5","L",2012-11-28,2012,"fall"
"262","28/11/2012","G","X","10.0710289824053","-12.5","L",2012-11-28,2012,"fall"
"263","28/11/2012","G","A","10.8362445386052","-12.5","L",2012-11-28,2012,"fall"
"264","28/11/2012","G","A",NA,"-12.5","R",2012-11-28,2012,"fall"
"265","20/12/2012","G","X","19.13959576836","-12.5","R",2012-12-20,2012,"winter"
"266","20/12/2012","G","A","19.9542400573293","-12.5","R",2012-12-20,2012,"winter"
"267","20/12/2012","G","R","10.0260516960796","-12.5","L",2012-12-20,2012,"winter"
"268","20/12/2012","G","X","21.030276431699","-12.5","L",2012-12-20,2012,"winter"
"269","20/12/2012","G","R","9.63755529406082","-12.5","R",2012-12-20,2012,"winter"
"270","20/12/2012","G","A","18.2259956637496","-12.5","R",2012-12-20,2012,"winter"
"271","20/12/2012","G","R","14.8275048068734","-12.5","L",2012-12-20,2012,"winter"
"272","20/12/2012","G","X","19.0384997393154","-12.5","L",2012-12-20,2012,"winter"
"273","20/12/2012","G","A","17.786177624095","-12.5","L",2012-12-20,2012,"winter"
"274","20/12/2012","G","A","21.7102666877195","-12.5","L",2012-12-20,2012,"winter"
"275","20/12/2012","G","R","11.3304717691493","-12.5","R",2012-12-20,2012,"winter"
"276","20/12/2012","G","X","21.1507436506332","-12.5","R",2012-12-20,2012,"winter"
"277","20/12/2012","G","A","20.5627432995532","-12.5","L",2012-12-20,2012,"winter"
"278","20/12/2012","G","R","12.7994747040439","-12.5","R",2012-12-20,2012,"winter"
"279","20/12/2012","G","R","13.0322891651266","-12.5","R",2012-12-20,2012,"winter"
"280","20/12/2012","G","X","18.1950426098353","-12.5","R",2012-12-20,2012,"winter"
