"","jar","jar_weight","plot","plant","depth","soil_jar","density_40","density_2H","clay_p","silt_p","sand_p"
"111",111,214.79,"G15R","G",100,258.4,1.011,1.0072,16.5099747764277,8.71359779866957,74.7764274249028
"112",112,202.06,"G16R","G",100,246.77,1.0103,1.0057,12.7488257660479,10.2885260568104,76.9626481771416
"113",113,211.38,"G17R","G",100,258.83,1.0111,1.0072,15.173867228662,8.21917808219181,76.6069546891462
"114",114,174.44,"G18R","G",100,218.55,1.011,1.008,18.1364769893448,6.80117887100405,75.0623441396511
"115",115,194.94,"G19L","G",100,239.26,1.0122,1.0085,19.1787003610107,8.34837545126362,72.4729241877257
"116",116,210.02,"G20L","G",100,259.49,1.0125,1.0089,17.9907014352131,7.27713765918748,74.7321609055994
"117",117,195,"G21L","G",100,239.13,1.0128,1.01,22.6603217765693,6.34489009743919,70.9947881259916
"118",118,201.96,"G22L","G",100,246.15,1.0123,1.0085,19.2351210681149,8.59923059515734,72.1656483367278
"119",119,210.34,"G23L","G",100,258.49,1.014,1.01,20.7684319833853,8.30737279335411,70.9241952232606
"120",120,195.53,"G24R","G",100,240.44,1.0097,1.0067,14.9187263415719,6.68002672010713,78.401246938321
"121",121,195,"G01R","G",125,240.13,1.0113,1.0081,17.948149789497,7.09062707733235,74.9612231331706
"122",122,214.22,"G02L","G",125,259.27,1.01,1.0067,14.8723640399555,7.32519422863503,77.8024417314095
"123",123,195.53,"G04L","G",125,240.23,1.01,1.007,15.6599552572705,6.71140939597341,77.6286353467561
"124",124,213.73,"G05R","G",125,258.98,1.0101,1.007,15.4696132596683,6.85082872928198,77.6795580110497
"125",125,175.4,"G06R","G",125,220.8,1.0092,1.0061,13.4361233480176,6.82819383259935,79.735682819383
"126",126,212.18,"G07L","G",125,257.77,1.011,1.007,15.3542443518313,8.77385391533232,75.8719017328364
"127",127,215.1,"G08L","G",125,260.11,1.01,1.007,15.5520995334368,6.6651855143304,77.7827149522328
"128",128,201.75,"G09L","G",125,246.99,1.0101,1.0062,13.7046861184792,8.62068965517245,77.6746242263484
"129",129,214.79,"G10L","G",125,259.87,1.0104,1.0079,17.5244010647738,5.54569653948525,76.929902395741
"130",130,202.06,"G11R","G",125,247.15,1.0105,1.0081,17.9640718562874,5.3226879574184,76.7132401862942
"131",131,211.38,"G12R","G",125,259.33,1.0105,1.0073,15.2241918665278,6.6736183524502,78.102189781022
"132",132,174.44,"G13L","G",125,219.84,1.0083,1.0055,12.1145374449341,6.16740088105708,81.7180616740089
"133",133,212.18,"G14R","G",125,256.87,1.013,1.009,20.1387334974265,8.95054822107855,70.910718281495
"134",134,210.02,"G15R","G",125,260.19,1.0121,1.0084,16.7430735499302,7.37492525413602,75.8820011959338
"135",135,195,"G16R","G",125,239.53,1.0121,1.008,17.9654165730968,9.20727599371209,72.8273074331911
"136",136,214.22,"G17R","G",125,256.63,1.0116,1.0077,18.1560952605519,9.19594435274703,72.6479603867011
"137",137,202,"G18R","G",125,247.09,1.0108,1.008,17.742293191395,6.20980261698806,76.0479041916169
"138",138,175.51,"G19L","G",125,220.49,1.0102,1.007,15.5624722098708,7.11427301022697,77.3232547799022
"139",139,210.69,"G20L","G",125,255.95,1.0116,1.0075,16.5709235528061,9.0587715422006,74.3703049049932
"140",140,212.18,"G22L","G",125,257.09,1.0115,1.0083,18.4814072589623,7.12536183478089,74.3932309062568
"141",141,215.1,"G23L","G",125,254.65,1.015,1.008,20.2275600505689,17.6991150442475,62.0733249051836
"142",142,201.75,"G24R","G",125,246.27,1.01,1.007,15.7232704402513,6.73854447439378,77.5381850853549
"143",143,194.96,"G01R","G",150,239.97,1.011,1.0075,16.6629637858255,7.77604976671814,75.5609864474563
"144",144,211.19,"G02L","G",150,256.28,1.0095,1.006,13.3067198935463,7.76225327123544,78.9310268352183
"145",145,201.75,"G04L","G",150,247.12,1.009,1.006,13.2245977518184,6.61229887590895,80.1631033722727
"146",146,214.79,"G05R","G",150,260.21,1.01,1.0062,13.6503742844562,8.3663584324087,77.9832672831351
"147",147,202.06,"G06R","G",150,247.14,1.0092,1.0052,11.5350488021298,8.87311446317658,79.5918367346937
"148",148,211.38,"G07L","G",150,256.76,1.01,1.0062,13.6624063464081,8.37373292199213,77.9638607315998
"149",149,174.44,"G08L","G",150,219.36,1.0092,1.0065,14.4701691896704,6.01068566340193,79.5191451469277
"150",150,194.94,"G09L","G",150,240.11,1.009,1.0052,11.5120655302194,8.41266327208281,80.0752711976978
"151",151,210.02,"G10L","G",150,258.33,1.011,1.008,16.5597184847858,6.20989443179443,77.2303870834198
"152",152,195,"G11R","G",150,240.28,1.0102,1.008,17.6678445229682,4.85865724381621,77.4734982332156
"153",153,214.22,"G12R","G",150,256.34,1.0101,1.0071,16.8566001899338,7.12250712250686,76.0208926875594
"154",154,202,"G13L","G",150,246.85,1.011,1.0075,16.722408026756,7.8037904124857,75.4738015607583
"155",155,194.94,"G14R","G",150,239.86,1.015,1.0105,23.3748886910061,10.0178094390026,66.6073018699913
"156",156,210.69,"G15R","G",150,255.87,1.012,1.008,17.7069499778663,8.85347498893316,73.4395750332005
"157",157,194.96,"G16R","G",150,240.05,1.0113,1.007,15.5245065424704,9.53648259037524,74.9390108671544
"158",158,211.19,"G17R","G",150,257.06,1.0145,1.01,21.8007412252017,9.81033355134064,68.3889252234577
"159",159,194.88,"G18R","G",150,239.72,1.012,1.008,17.8412132024978,8.92060660124889,73.2381801962533
"160",160,201.96,"G19L","G",150,246.88,1.0114,1.0082,18.2546749777382,7.12377560106878,74.6215494211931
"161",161,210.34,"G20L","G",150,260.11,1.0125,1.0085,17.0785613823587,8.03697006228652,74.8844685553547
"162",162,211.38,"G22L","G",150,259.57,1.0075,1.006,12.4507159161652,3.11267897904141,84.4366051047934
"163",163,174.44,"G23L","G",150,219.83,1.0108,1.0055,12.1172064331352,11.6765807446571,76.2062128222077
"164",164,194.94,"G24R","G",150,239.71,1.012,1.0081,18.0924726379272,8.71119052937237,73.1963368327005
"165",165,195.53,"G01R","G",175,240.45,1.0104,1.007,15.5832591273373,7.56901157613551,76.8477292965272
"166",166,213.73,"G02L","G",175,259.11,1.009,1.0055,12.1198765976202,7.71264874393969,80.1674746584401
"167",167,194.94,"G04L","G",175,239.66,1.008,1.005,11.1806797853307,6.70840787119883,82.1109123434705
"168",168,210.02,"G05R","G",175,255.12,1.009,1.0061,13.5254988913525,6.4301552106428,80.0443458980047
"169",169,195,"G06R","G",175,240.58,1.009,1.0051,11.1891180342258,8.55638437911319,80.254497586661
"170",170,214.22,"G07L","G",175,259.15,1.01,1.0061,13.5766748275095,8.68016915201428,77.7431560204763
"171",171,202,"G08L","G",175,246.81,1.0099,1.006,13.3898683329614,8.70341441642494,77.9067172506137
"172",172,175.51,"G09L","G",175,220.77,1.009,1.0052,11.489173663279,8.39593460008794,80.114891736633
"173",173,210.69,"G10L","G",175,256.01,1.0101,1.0067,14.7837599293908,7.5022065313329,77.7140335392763
